Coin,Date,Min,Max,Average,StandardDeviation
etc,2019-04-18,5.4690000898839,5.6055912910262,5.553017680930307,0.03236740677252045
etc,2019-04-19,5.53,5.69,5.575950413223126,0.03004345371956202
etc,2019-04-20,5.49,5.62,5.559834024896256,0.032412881064539434
etc,2019-04-21,5.09,5.54,5.312222222222235,0.17057153984695672
etc,2019-04-22,5.18,5.29,5.2361674008810555,0.02826601442826092
etc,2019-04-23,5.23,5.41,5.329537815126039,0.0454043069655803
etc,2019-04-24,4.83,5.34,5.011333333333344,0.12477936082897924
etc,2019-04-25,4.94,5.1,5.037717842323636,0.028228822949903094
etc,2019-04-26,4.72,4.96,4.850250000000003,0.03554252148249101
etc,2019-04-27,4.86,5.01,4.932041666666676,0.03476705716463388
etc,2019-04-28,4.9,5.09,4.962563025210091,0.036121675481457054
etc,2019-04-29,4.93,5.12,5.0347499999999865,0.0411594966765465
etc,2019-04-30,4.93,5.21,5.093195020746898,0.07118556878625693
etc,2019-05-01,5.09,5.26,5.192250000000007,0.04657364240282939
etc,2019-05-02,5.12,5.18,5.142652173913042,0.01245551631119525
etc,2019-05-03,5.13,5.46,5.270541666666656,0.1058345718431489
etc,2019-05-04,5.09,5.48,5.244718614718631,0.10981205332789966
etc,2019-05-05,5.04,5.21,5.120984455958551,0.04238443314343574
etc,2019-05-06,4.91,5.14,5.018033472803347,0.07585429029764044
etc,2019-05-07,5.04,5.23,5.13891666666666,0.055719473456075704
etc,2019-05-08,5,5.11,5.0579166666666575,0.02689162922216275
etc,2019-05-09,4.9,5.16,5.040708333333351,0.07318297796543054
etc,2019-05-10,4.9,5.05,4.977666666666673,0.03603778880872399
etc,2019-05-11,5,5.61,5.219499999999997,0.2004613429068064
etc,2019-05-12,5.11,5.68,5.343744855967076,0.12280822784914823
etc,2019-05-13,5.16,5.58,5.353347457627121,0.1093985000608795
etc,2019-05-14,5.31,5.92,5.66625,0.13492629160644176
etc,2019-05-15,5.58,6.78,6.244674796747969,0.32143557550805474
etc,2019-05-16,6.51,7.57,6.982074688796675,0.21720367953832156
etc,2019-05-17,6.12,6.96,6.439469026548681,0.23227173858450761
etc,2019-05-18,6.38,6.66,6.506583333333333,0.05919594346086767
etc,2019-05-19,6.43,7.02,6.8157916666666605,0.1498617360454481
etc,2019-05-20,6.44,7.06,6.66209876543209,0.13304953793907423
etc,2019-05-21,6.5,6.82,6.634420600858361,0.07538589652811203
etc,2019-05-22,6.19,6.7,6.568464730290442,0.09101848679592624
etc,2019-05-23,6.01,6.26,6.178410041841016,0.06282724590519422
etc,2019-05-24,6.24,6.61,6.434585635359129,0.09978136105832551
etc,2019-05-25,6.41,6.6,6.486708229426422,0.044313968875665674
etc,2019-05-26,6.34,6.87,6.458653366583552,0.09974372170637366
etc,2019-05-27,6.78,7.31,6.931704260651633,0.08492132733585482
etc,2019-05-28,7.01,7.55,7.353825000000014,0.10446109024416667
etc,2019-05-29,6.91,7.53,7.2840147783251075,0.1572027330837158
etc,2019-05-30,7.02,7.93,7.633498759305215,0.18683578297518327
etc,2019-05-31,7.11,7.62,7.369395465994955,0.13250972980613898
etc,2019-06-01,7.55,7.93,7.757727272727265,0.07974635524831371
etc,2019-06-02,7.64,8.52,8.12314496314494,0.28634344100969356
etc,2019-06-03,8.18,8.77,8.477663316582918,0.09981801134061653
etc,2019-06-04,6.83,8.68,7.891122448979604,0.4082944432063536
etc,2019-06-05,6.94,7.44,7.1912935323383005,0.09970013951277001
etc,2019-06-06,6.51,7.3,7.026055979643758,0.20612619203875196
etc,2019-06-07,6.87,7.39,7.091895261845382,0.11703058833475481
etc,2019-06-08,7.13,7.7,7.413668341708529,0.14489160929808567
etc,2019-06-09,6.98,7.52,7.288223350253829,0.1368273240698889
etc,2019-06-10,7.02,7.45,7.225361596009993,0.089294443708739
etc,2019-06-11,7.12,7.38,7.234818941504199,0.05987366530627986
etc,2019-06-12,7.18,7.66,7.358505747126437,0.1423471451666155
etc,2019-06-13,7.51,7.73,7.598880407124658,0.04656952937813502
etc,2019-06-14,7.31,7.7,7.471212121212123,0.06907063764284625
etc,2019-06-15,7.51,7.74,7.622055837563422,0.040618154138492714
etc,2019-06-16,7.57,7.93,7.729949622166248,0.07691139513341703
etc,2019-06-17,7.73,7.89,7.792146464646466,0.03198308837568227
etc,2019-06-18,7.47,7.9,7.674769230769259,0.11350510245810172
etc,2019-06-19,7.48,7.71,7.594565756823849,0.041533836468857055
etc,2019-06-20,7.44,7.65,7.533112244897971,0.04789984931446139
etc,2019-06-21,7.52,7.76,7.627204030226704,0.046952370784618926
etc,2019-06-22,7.63,8.13,7.894658227848098,0.11607536683867356
etc,2019-06-23,7.91,8.44,8.160349127182057,0.11164325892023541
etc,2019-06-24,7.91,8.25,8.088984771573607,0.083668943783714
etc,2019-06-25,7.99,8.19,8.085353535353539,0.0455397069791184
etc,2019-06-26,7.73,8.54,8.291335012594441,0.15056896662707966
etc,2019-06-27,6.41,8.06,7.303002481389577,0.48150216508488913
etc,2019-06-28,6.69,7.1,6.914447174447184,0.097070741121836
etc,2019-06-29,6.73,7.27,6.992029702970273,0.1426112180502376
etc,2019-06-30,6.81,7.58,7.196472081218289,0.17575649537710697
etc,2019-07-01,6.5,7.09,6.85240000000001,0.1647277754357158
etc,2019-07-02,6.52,6.96,6.772146464646473,0.11431698249823338
etc,2019-07-03,6.79,7.02,6.8917456359102305,0.052092811257363925
etc,2019-07-04,6.84,7.18,6.9859801488834,0.08503521152431787
etc,2019-07-05,6.8,7.07,6.931525000000006,0.058467293207399185
etc,2019-07-06,6.94,7.11,7.007562814070353,0.034689430770140695
etc,2019-07-07,6.93,7.12,6.989847328244296,0.04287952350619837
etc,2019-07-08,7.02,7.14,7.069974683544297,0.02731437915172416
etc,2019-07-09,6.95,7.24,7.088664987405563,0.08434056610847819
etc,2019-07-10,6.26,7.09,6.7951515151515265,0.25439019435220644
etc,2019-07-11,5.59,6.53,6.024114713216961,0.23856444479882888
etc,2019-07-12,5.8,6.09,5.971859296482415,0.07412511697352794
etc,2019-07-13,5.68,6.06,5.87892499999999,0.0940510200635816
etc,2019-07-14,5.14,5.89,5.530829145728644,0.2818978501948801
etc,2019-07-15,4.66,5.32,4.955547263681595,0.16491766076082046
etc,2019-07-16,4.64,5.39,5.102932330827082,0.13626846910239254
etc,2019-07-17,4.7,5.25,4.943805970149267,0.15496169375533167
etc,2019-07-18,4.86,5.38,5.155491183879079,0.127275551631816
etc,2019-07-19,5.07,5.42,5.205012106537532,0.08810797002131404
etc,2019-07-20,5.19,5.62,5.426564885496185,0.11976718929703505
etc,2019-07-21,5.39,5.62,5.490471464019853,0.053609432659421315
etc,2019-07-22,5.57,5.78,5.665743589743608,0.05192041145421809
etc,2019-07-23,5.34,5.68,5.5096009975062605,0.09026058368183602
etc,2019-07-24,5.19,5.58,5.3462626262626305,0.08853562723600385
etc,2019-07-25,5.37,5.62,5.479242902208215,0.04732658187350452
etc,2019-07-26,5.3,5.61,5.4409296482412115,0.08463275721222785
etc,2019-07-27,5.22,5.67,5.429748743718584,0.14378738206859587
etc,2019-07-28,5.28,5.4,5.337189873417693,0.023631172262832054
etc,2019-07-29,5.03,5.42,5.339695431472052,0.0506947531745949
etc,2019-07-30,5.22,5.37,5.291843434343412,0.03626342638604283
etc,2019-07-31,5.26,5.47,5.361457800511514,0.04780793451755481
etc,2019-08-01,5.3,5.48,5.361291139240477,0.044290225769372235
etc,2019-08-02,5.24,5.4,5.32974358974357,0.04421898765422946
etc,2019-08-03,5.24,5.34,5.278607594936695,0.019273788669037114
